Operation,Operand 1,Operand 2,Result
add,2.0,2.0,4.0
subtract,3.0,3.0,0.0
multiply,4.0,5.0,20.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
add,1.0,1.0,2.0
subtract,1.0,1.0,0.0
multiply,1.0,1.0,1.0
divide,1.0,1.0,1.0
